,fix,anomaly,contexts
81,Koson,Koso√Ö‚Ñ¢,"[Age                                                6080
Error                                                60
Material                                          grain
Taxa                                                NaN
d13C                                                  0
Method                                              NaN
Long                                                NaN
Lat                                                 NaN
LocAccuracy                                           0
Period                                              NaN
SiteID                                              NaN
SiteName       Koso√Ö‚Ñ¢ Nad Sta√ÖÀÜkovnou pieskov√ÖÀÜa
Country                                        Slovakia
Province                                            NaN
Continent                                        Europe
Source                                           CALPAL
Reference                                    Lička 1999
Region                                          Unknown
Name: BLN-3759, dtype: object]"
82,Kvalshausen,Kvalshausen,"[Age                            1595
Error                            35
Material                   Charcoal
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                         19.804
Lat                          70.054
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName       Kvalshausen_Vann√∏ya
Country                      Norway
Province                        NaN
Continent                    Europe
Source               Jorgensen_2020
Reference                       NaN
Region                      Unknown
Name: TUA-5798, dtype: object]"
83,KrÖv,Kr√Ö¬°,"[Age                                                         5870
Error                                                        150
Material                                                charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     19.8333
Lat                                                        42.75
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                            Beran Kr√Ö¬°
Country                                               Montenegro
Province                                                     NaN
Continent                                                 Europe
Source                                                     RADON
Reference      Senabre/Socias 1993 104; Senabre/Socias 1993 1...
Region                                                   Unknown
Name: Z-492, dtype: object]"
84,Kimble,Kimble’s,"[Age                         390
Error                        40
Material               CHARCOAL
Taxa                        NaN
d13C                      -23.8
Method                      AMS
Long                   -74.8094
Lat                     39.1508
LocAccuracy                   1
Period                      NaN
SiteID                   28CM36
SiteName       Kimble’s Beach-A
Country                     USA
Province             New Jersey
Continent         North America
Source                 UWyo2021
Reference           Kotcho 2009
Region                  Unknown
Name: BETA-193957, dtype: object]"
85,KÅfjordbotn,KÃ¥fjordbotn,"[Age                                                         3560
Error                                                        120
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     23.0154
Lat                                                      69.9203
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                            KÃ¥fjordbotn
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: BETA-58643, dtype: object, Age                               3550
Error                              140
Material                      Charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           22.9869
Lat                            69.9114
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName                  KÃ¥fjordbotn
Country                         Norway
Province                           NaN
Continent                       Europe
Source                  Jorgensen_2020
Reference      Miller Jornada Database
Region                         Unknown
Name: BETA-59882, dtype: object]"
86,KNarvik,KÃ¥rvik,"[Age                                                         4020
Error                                                         80
Material                                                Charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                      23.513
Lat                                                       70.541
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                                 KÃ¥rvik
Country                                                   Norway
Province                                                     NaN
Continent                                                 Europe
Source                                            Jorgensen_2020
Reference      Jørgensen E. K. 2017. The Palaeodemographic an...
Region                                                   Unknown
Name: T-5394, dtype: object]"
87,Křenovice,K√Ö‚Ñ¢enovice,"[Age                                                         4205
Error                                                         35
Material                                                    bone
Taxa                                                         NaN
d13C                                                           0
Method                                                       NaN
Long                                                         NaN
Lat                                                          NaN
LocAccuracy                                                    0
Period                                                       NaN
SiteID                                                       NaN
SiteName                             K√Ö‚Ñ¢enovice 2 site Vinice
Country                                                 Slovakia
Province                                                     NaN
Continent                                                 Europe
Source                                                    CALPAL
Reference      Peška J. (2011). Nové poznatky o jevišovickém ...
Region                                                   Unknown
Name: KIA-34745, dtype: object]"
88,Lamb's,Lamb’s,"[Age                               4510
Error                               80
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           -3.0698
Lat                            55.8852
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName       Lamb’s Nursery Dalkeith
Country                 United Kingdom
Province                           NaN
Continent                       Europe
Source                       Bevan2017
Reference                          NaN
Region                         Unknown
Name: GU-8102, dtype: object, Age                               3260
Error                               90
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           -3.0698
Lat                            55.8852
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName       Lamb’s Nursery Dalkeith
Country                 United Kingdom
Province                           NaN
Continent                       Europe
Source                       Bevan2017
Reference                          NaN
Region                         Unknown
Name: GU-8104, dtype: object, Age                               4070
Error                              110
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                           -3.0698
Lat                            55.8852
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName       Lamb’s Nursery Dalkeith
Country                 United Kingdom
Province                           NaN
Continent                       Europe
Source                       Bevan2017
Reference                          NaN
Region                         Unknown
Name: GU-8105, dtype: object]"
89,Kany,K√≥ny,"[Age                                                       6040
Error                                                       40
Material                                                  bone
Taxa                                                       NaN
d13C                                                       NaN
Method                                                     NaN
Long                                                     17.43
Lat                                                      47.64
LocAccuracy                                                  2
Period                                                     NaN
SiteID                                                     NaN
SiteName       M85 Enese elker√ºlà 02. K√≥ny Prolet√°r-dàlà II
Country                                                Hungary
Province                                                   NaN
Continent                                               Europe
Source                                 Silva_VanderLinden_2017
Reference                              SzÔøΩcsÔøΩnyi-Nagy 2015
Region                                                 Unknown
Name: BETA-310035, dtype: object]"
90,Kostomłoty,Kostom√Ö‚Äöoty,"[Age                      3650
Error                      35
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16017, dtype: object, Age                      3690
Error                      30
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16020, dtype: object, Age                      3625
Error                      35
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16021, dtype: object, Age                      3635
Error                      30
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16024, dtype: object, Age                      3690
Error                      35
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16040, dtype: object, Age                      3540
Error                      35
Material             charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  16.6143
Lat                   51.0457
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName       Kostom√Ö‚Äöoty
Country                Poland
Province                  NaN
Continent              Europe
Source                RADON-B
Reference                 NaN
Region                Unknown
Name: POZ-16041, dtype: object]"
91,Kovice,Ko√Ö¬°ice,"[Age                          6206
Error                          35
Material                 charcoal
Taxa                          NaN
d13C                            0
Method                        NaN
Long                          NaN
Lat                           NaN
LocAccuracy                     0
Period                        NaN
SiteID                        NaN
SiteName       Ko√Ö¬°ice Galgovec
Country                  Slovakia
Province                      NaN
Continent                  Europe
Source                     CALPAL
Reference           Kaminská 2007
Region                    Unknown
Name: VERA-747, dtype: object]"
92,KokEmÄki,Ka√Ö‚Äöki,"[Age                                                3815
Error                                                35
Material                                            NaN
Taxa                                                NaN
d13C                                                NaN
Method                                              NaN
Long                                            14.8183
Lat                                             51.6517
LocAccuracy                                           2
Period                                              NaN
SiteID                                              NaN
SiteName                               Ka√Ö‚Äöki site 8
Country                                          Poland
Province                                            NaN
Continent                                        Europe
Source                                          RADON-B
Reference      Czebreszuk/Szmyt 2015 552-556 Appendix 1
Region                                          Unknown
Name: POZ-17141, dtype: object, Age                                                3680
Error                                                35
Material                                            NaN
Taxa                                                NaN
d13C                                                NaN
Method                                              NaN
Long                                            14.8183
Lat                                             51.6517
LocAccuracy                                           2
Period                                              NaN
SiteID                                              NaN
SiteName                               Ka√Ö‚Äöki site 8
Country                                          Poland
Province                                            NaN
Continent                                        Europe
Source                                          RADON-B
Reference      Czebreszuk/Szmyt 2015 552-556 Appendix 1
Region                                          Unknown
Name: POZ-17142, dtype: object, Age                                                3670
Error                                                35
Material                                            NaN
Taxa                                                NaN
d13C                                                NaN
Method                                              NaN
Long                                            14.8183
Lat                                             51.6517
LocAccuracy                                           2
Period                                              NaN
SiteID                                              NaN
SiteName                               Ka√Ö‚Äöki site 8
Country                                          Poland
Province                                            NaN
Continent                                        Europe
Source                                          RADON-B
Reference      Czebreszuk/Szmyt 2015 552-556 Appendix 1
Region                                          Unknown
Name: POZ-17143, dtype: object]"
93,KsiAznice,KsiÄ…znice,"[Age                              3780
Error                              30
Material                collagen bone
Taxa                              NaN
d13C                              NaN
Method                            NaN
Long                          21.0823
Lat                           50.3944
LocAccuracy                         2
Period                            NaN
SiteID                            NaN
SiteName                   KsiÄ…znice
Country                        Poland
Province                          NaN
Continent                      Europe
Source                        RADON-B
Reference      Górski et al. 2013 106
Region                        Unknown
Name: POZ-34696, dtype: object]"
94,Langsjølia,Langsj√∏lia,"[Age                      5730
Error                     340
Material             Charcoal
Taxa                      NaN
d13C                      NaN
Method                    NaN
Long                  11.4833
Lat                   62.2167
LocAccuracy                 2
Period                    NaN
SiteID                    NaN
SiteName          Langsj√∏lia
Country                Norway
Province                  NaN
Continent              Europe
Source         Solheim_Norway
Reference                 NaN
Region                Unknown
Name: T-4397, dtype: object]"
95,Leonards,Leonard’s,"[Age                                                   930
Error                                                  30
Material                                             bone
Taxa                                                  NaN
d13C                                                  NaN
Method                                                NaN
Long                                              -0.7445
Lat                                               53.3004
LocAccuracy                                             2
Period                                                NaN
SiteID                                                NaN
SiteName       Augustinian Priory of St Leonard’s Torksey
Country                                    United Kingdom
Province                                              NaN
Continent                                          Europe
Source                                          Bevan2017
Reference                                             NaN
Region                                            Unknown
Name: BETA-415404, dtype: object]"
96,NEEDS_EXPERT,Linger（PY04）,"[Age                        10670
Error                         40
Material                Charcoal
Taxa                         NaN
d13C                         NaN
Method                       AMS
Long                     106.646
Lat                       35.835
LocAccuracy                    2
Period                       NaN
SiteID                       NaN
SiteName            Linger（PY04）
Country                    China
Province                 Ningxia
Continent                   Asia
Source              Wangetal2014
Reference      Barton et al.2007
Region                   Unknown
Name: CAMS-94202, dtype: object]"
97,NEEDS_EXPERT,Linger（PY03）,"[Age                        18350
Error                         70
Material                Charcoal
Taxa                         NaN
d13C                         NaN
Method                       AMS
Long                     106.646
Lat                       35.835
LocAccuracy                    2
Period                       NaN
SiteID                       NaN
SiteName            Linger（PY03）
Country                    China
Province                 Ningxia
Continent                   Asia
Source              Wangetal2014
Reference      Barton et al.2007
Region                   Unknown
Name: CAMS-94203, dtype: object]"
98,Makotřasy,Makot√Ö‚Ñ¢asy,"[Age                            4550
Error                           110
Material                        NaN
Taxa                            NaN
d13C                            NaN
Method                          NaN
Long                        14.2147
Lat                         50.1445
LocAccuracy                       2
Period                          NaN
SiteID                          NaN
SiteName              Makot√Ö‚Ñ¢asy
Country                     Czechia
Province                        NaN
Continent                    Europe
Source                        RADON
Reference      Breunig 1987 142 166
Region                      Unknown
Name: GRN-6928, dtype: object]"
99,Mal,Mal,"[Age                             5920
Error                             15
Material                        bone
Taxa                             NaN
d13C                               0
Method                           NaN
Long                           15.77
Lat                            43.85
LocAccuracy                        1
Period                           NaN
SiteID                           NaN
SiteName       Cista Mal-Veli√Ö¬°tak
Country                      Croatia
Province                         NaN
Continent                     Europe
Source                        CALPAL
Reference               McClure 2014
Region                       Unknown
Name: PSU-3702, dtype: object, Age                             6045
Error                             25
Material                        bone
Taxa                             NaN
d13C                               0
Method                           NaN
Long                           15.77
Lat                            43.85
LocAccuracy                        1
Period                           NaN
SiteID                           NaN
SiteName       Cista Mal-Veli√Ö¬°tak
Country                      Croatia
Province                         NaN
Continent                     Europe
Source                        CALPAL
Reference               McClure 2014
Region                       Unknown
Name: PSU-5288, dtype: object, Age                             5935
Error                             20
Material                        bone
Taxa                             NaN
d13C                               0
Method                           NaN
Long                           15.77
Lat                            43.85
LocAccuracy                        1
Period                           NaN
SiteID                           NaN
SiteName       Cista Mal-Veli√Ö¬°tak
Country                      Croatia
Province                         NaN
Continent                     Europe
Source                        CALPAL
Reference               McClure 2014
Region                       Unknown
Name: PSU-5289, dtype: object]"
100,Maškovy,Ma√Ö¬°kovy,"[Age                                 2885
Error                                 35
Material                        charcoal
Taxa                                 NaN
d13C                                   0
Method                               NaN
Long                                 NaN
Lat                                  NaN
LocAccuracy                            0
Period                               NaN
SiteID                               NaN
SiteName       Turnov Ma√Ö¬°kovy zahrady
Country                         Slovakia
Province                             NaN
Continent                         Europe
Source                            CALPAL
Reference        Bláhová-Sklenářová 2007
Region                           Unknown
Name: GD-1395, dtype: object, Age                                 3050
Error                                 30
Material                        charcoal
Taxa                                 NaN
d13C                                   0
Method                               NaN
Long                                 NaN
Lat                                  NaN
LocAccuracy                            0
Period                               NaN
SiteID                               NaN
SiteName       Turnov Ma√Ö¬°kovy zahrady
Country                         Slovakia
Province                             NaN
Continent                         Europe
Source                            CALPAL
Reference        Bláhová-Sklenářová 2007
Region                           Unknown
Name: GD-2282, dtype: object]"
101,Mare,Ma√Ö‚Äöe,"[Age                          4620
Error                          80
Material                 charcoal
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                         18.5
Lat                          53.3
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Ma√Ö‚Äöe Czyste 20
Country                    Poland
Province                      NaN
Continent                  Europe
Source            EUROEVOL; RADON
Reference                     NaN
Region                    Unknown
Name: GD-2817, dtype: object]"
102,Mary,Ma√Ö‚Äöy,"[Age                       5380
Error                      120
Material                   NaN
Taxa                       NaN
d13C                       NaN
Method                     NaN
Long                   16.9167
Lat                    51.0167
LocAccuracy                  2
Period                     NaN
SiteID                     NaN
SiteName       Tyniec Ma√Ö‚Äöy
Country                 Poland
Province                   NaN
Continent               Europe
Source         EUROEVOL; RADON
Reference                  NaN
Region                 Unknown
Name: GRN-14019, dtype: object]"
103,Miškovice,Mi√Ö¬°kovice,"[Age                          4330
Error                          31
Material                     bone
Taxa                          NaN
d13C                       -20.32
Method                        NaN
Long                          NaN
Lat                           NaN
LocAccuracy                     0
Period                        NaN
SiteID                        NaN
SiteName       Praha Mi√Ö¬°kovice
Country                  Slovakia
Province                      NaN
Continent                  Europe
Source                     CALPAL
Reference              Ernée 2007
Region                    Unknown
Name: KIA-30944, dtype: object]"
104,Miškovice,Mi√Ö¬°kovice;,"[Age                                   3512
Error                                   31
Material                               NaN
Taxa                                   NaN
d13C                                   NaN
Method                                 NaN
Long                               14.5454
Lat                                50.1579
LocAccuracy                              2
Period                                 NaN
SiteID                                 NaN
SiteName       Mi√Ö¬°kovice; site: Praha 9
Country                            Czechia
Province                               NaN
Continent                           Europe
Source                             RADON-B
Reference           Ernée 2012 111 Abb. 27
Region                             Unknown
Name: KIA-35081, dtype: object]"
105,NEEDS_EXPERT,Lou√Ö¬æ√ɬâ‰ÂÂ,"[Age                                 7620
Error                                 80
Material                        charcoal
Taxa                                 NaN
d13C                                 NaN
Method                               NaN
Long                              15.513
Lat                                49.51
LocAccuracy                            2
Period                               NaN
SiteID                               NaN
SiteName       Pod ÄŒernou Lou√Ö¬æ√ɬâ‰ÂÂ
Country                          Czechia
Province                             NaN
Continent                         Europe
Source                   EUROEVOL; RADON
Reference                            NaN
Region                           Unknown
Name: GRA-11455, dtype: object]"
106,Loštice,Lo√Ö¬°tice,"[Age                                                         4317
Error                                                         30
Material                                                charcoal
Taxa                                                         NaN
d13C                                                      -25.57
Method                                                       NaN
Long                                                         NaN
Lat                                                          NaN
LocAccuracy                                                    0
Period                                                       NaN
SiteID                                                       NaN
SiteName                                              Lo√Ö¬°tice
Country                                                 Slovakia
Province                                                     NaN
Continent                                                 Europe
Source                                                    CALPAL
Reference      Neruda P. - Nerudová Z. - ÄŒulíková V. (2009)....
Region                                                   Unknown
Name: OXA-18493, dtype: object]"
107,LÅnum,LÃ¥num,"[Age                4510
Error               100
Material       charcoal
Taxa                NaN
d13C                NaN
Method              NaN
Long            9.10875
Lat             56.4474
LocAccuracy           2
Period              NaN
SiteID              NaN
SiteName         LÃ¥num
Country         Denmark
Province            NaN
Continent        Europe
Source            RADON
Reference           NaN
Region          Unknown
Name: K-1771, dtype: object]"
108,Mil’kovo,Mit’kov,"[Age                                7375
Error                                60
Material                    Animal bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                                NaN
Lat                                 NaN
LocAccuracy                           0
Period                              NaN
SiteID                              NaN
SiteName                 Mit’kov ostrov
Country                         Ukraine
Province                            NaN
Continent                        Europe
Source                            14SEA
Reference      Kotova 2009: 169 Table 6
Region                          Unknown
Name: KI-6695, dtype: object]"
109,NEEDS_EXPERT,Ninian’s,"[Age                        1250
Error                        45
Material                   bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    -1.3417
Lat                     59.9714
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName       St Ninian’s Isle
Country          United Kingdom
Province                    NaN
Continent                Europe
Source                Bevan2017
Reference                   NaN
Region                  Unknown
Name: GU-9589, dtype: object]"
110,MukAřov,Mu√Ö¬°ov,"[Age                          3610
Error                          35
Material                     wood
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                       16.564
Lat                         48.91
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Mu√Ö¬°ov Neurissen
Country                   Czechia
Province                      NaN
Continent                  Europe
Source                   EUROEVOL
Reference                     NaN
Region                    Unknown
Name: VERA-751, dtype: object, Age                          2010
Error                          30
Material                     wood
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                       16.564
Lat                         48.91
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Mu√Ö¬°ov Neurissen
Country                   Czechia
Province                      NaN
Continent                  Europe
Source                   EUROEVOL
Reference                     NaN
Region                    Unknown
Name: VERA-752, dtype: object, Age                          2010
Error                          35
Material                     wood
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                       16.564
Lat                         48.91
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Mu√Ö¬°ov Neurissen
Country                   Czechia
Province                      NaN
Continent                  Europe
Source                   EUROEVOL
Reference                     NaN
Region                    Unknown
Name: VERA-753, dtype: object, Age                          2060
Error                          35
Material                     wood
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                       16.564
Lat                         48.91
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Mu√Ö¬°ov Neurissen
Country                   Czechia
Province                      NaN
Continent                  Europe
Source                   EUROEVOL
Reference                     NaN
Region                    Unknown
Name: VERA-754, dtype: object, Age                          3070
Error                          40
Material                     wood
Taxa                          NaN
d13C                          NaN
Method                        NaN
Long                       16.564
Lat                         48.91
LocAccuracy                     2
Period                        NaN
SiteID                        NaN
SiteName       Mu√Ö¬°ov Neurissen
Country                   Czechia
Province                      NaN
Continent                  Europe
Source                   EUROEVOL
Reference                     NaN
Region                    Unknown
Name: VERA-755, dtype: object]"
111,Moutsamoudou,Moussékoubou,"[Age                                                         1000
Error                                                         30
Material                                                charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     3.01315
Lat                                                        12.24
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                     Kompa Moussékoubou
Country                                                    Benin
Province                                                     NaN
Continent                                                 Africa
Source                                            Kay_WestAfrica
Reference      Robion-Brunner C Haour A Coustures M-P et al. ...
Region                                                   Unknown
Name: BETA-354922, dtype: object, Age                                                         1050
Error                                                         30
Material                                                charcoal
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                     3.01315
Lat                                                        12.24
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                     Kompa Moussékoubou
Country                                                    Benin
Province                                                     NaN
Continent                                                 Africa
Source                                            Kay_WestAfrica
Reference      Robion-Brunner C Haour A Coustures M-P et al. ...
Region                                                   Unknown
Name: BETA-354923, dtype: object]"
112,MÅnasken,MÃ¥nasken,"[Age                 1890
Error                100
Material        charcoal
Taxa                 NaN
d13C                 NaN
Method               NaN
Long             13.1641
Lat              55.5008
LocAccuracy            2
Period               NaN
SiteID               NaN
SiteName       MÃ¥nasken
Country           Sweden
Province             NaN
Continent         Europe
Source             RADON
Reference            NaN
Region           Unknown
Name: LU-78, dtype: object]"
113,MĄtwy,MÄ…twy,"[Age                        4580
Error                        50
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    18.2584
Lat                     52.7626
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName                 MÄ…twy
Country                  Poland
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Breunig 1987 158
Region                  Unknown
Name: BLN-1314, dtype: object]"
114,Oaks,Oaks”,"[Age                                                      1390
Error                                                      25
Material                                                SHELL
Taxa                                 marine Olivella M1a bead
d13C                                                       -1
Method                                                    AMS
Long                                                 -121.695
Lat                                                   37.2318
LocAccuracy                                                 1
Period                                                    NaN
SiteID                                              CA-SCL-38
SiteName       Yukisma (“At the Oaks”) Site; Alms House Mound
Country                                                   USA
Province                                           California
Continent                                       North America
Source                                               UWyo2021
Reference                                       Groza R. 2002
Region                                                Unknown
Name: CAMS-80902, dtype: object]"
115,Nait,N’ait,"[Age                                              3200
Error                                              39
Material                       sediment with charcoal
Taxa                                              NaN
d13C                                              NaN
Method                                            NaN
Long                                          -7.8622
Lat                                           31.2056
LocAccuracy                                         1
Period                                            NaN
SiteID                                            NaN
SiteName       Aougni N’ait Ourigh C-700 (Oukaïmeden)
Country                                       Morocco
Province                                          NaN
Continent                                      Africa
Source                                  MedAfriCarbon
Reference                          Rubinos.2014AppAbs
Region                                        Unknown
Name: CNA-938, dtype: object]"
116,NEEDS_EXPERT,Obřístv√ɬâ‰ÂÂ,"[Age                     4650
Error                     50
Material                bone
Taxa                     NaN
d13C                       0
Method                   NaN
Long                     NaN
Lat                      NaN
LocAccuracy                0
Period                   NaN
SiteID                   NaN
SiteName       Obřístv√ɬâ‰ÂÂ
Country             Slovakia
Province                 NaN
Continent             Europe
Source                CALPAL
Reference       Svoboda 2002
Region               Unknown
Name: GRA-13710, dtype: object]"
117,Okolište,Okoli√Ö¬°te,"[Age                              4935
Error                              40
Material                         bone
Taxa                              NaN
d13C                           -21.71
Method                            NaN
Long                          18.0658
Lat                           44.2241
LocAccuracy                         1
Period                            NaN
SiteID                            NaN
SiteName                  Okoli√Ö¬°te
Country        Bosnia and Herzegovina
Province                          NaN
Continent                      Europe
Source                         CALPAL
Reference          Vander Linden 2014
Region                        Unknown
Name: KIA-32109, dtype: object]"
118,Orešje,Ore√Ö¬°je,"[Age                               2510
Error                               25
Material                      charcoal
Taxa                               NaN
d13C                             -24.9
Method                             NaN
Long                           15.7077
Lat                             46.049
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName       Ore√Ö¬°je na Bizeljskem
Country                       Slovenia
Province                           NaN
Continent                       Europe
Source                         RADON-B
Reference       Teržan/Črešnar 2014 25
Region                         Unknown
Name: KIA-309201, dtype: object]"
